County,State,State_FIPS,County_FIPS,age_60_and_over,total_population,white_population,housing_cost_burden,age_15_to_44_percentage,median_gross_rent,gini_index,native_american_population,median_household_income,per_capita_income,asian_population,total_population_race,black_population,age_18_and_under_percentage,median_home_value,Year
Nash County,North Carolina,37,127,12.5,95571,53304,1255,78.3,751,0.4429,527,43084,22880,53304,95571,35752,9.3,117300,2013
Nassau County,Florida,12,89,16.8,74163,67032,590,80.8,958,0.442,302,55315,28926,67032,74163,4888,8.2,181100,2013
Nassau County,New York,36,59,13.5,1343765,963399,7260,78.9,1504,0.4482,2888,97690,42400,963399,1343765,149883,9.2,454500,2013
Natchitoches Parish,Louisiana,22,69,12.4,39403,21532,386,76.5,624,0.5289,319,33953,20802,21532,39403,16308,15.2,97200,2013
Natrona County,Wyoming,56,25,10.7,77343,71800,703,78.3,804,0.4176,830,57791,29877,71800,77343,633,9.8,178300,2013
Navajo County,Arizona,4,17,13.2,107326,52711,608,73.9,668,0.4702,45995,36927,16626,52711,107326,476,10.1,112200,2013
Navarro County,Texas,48,349,13.1,47883,36893,399,75.0,697,0.4461,1168,40795,20327,36893,47883,6925,9.7,79500,2013
Nelson County,Kentucky,21,179,10.6,43905,40712,474,75.4,665,0.4578,79,43833,23545,40712,43905,2307,7.7,124500,2013
Nelson County,North Dakota,38,63,24.5,3101,3012,7,81.5,427,0.4612,32,49839,30432,3012,3101,39,5.8,54000,2013
Nelson County,Virginia,51,125,19.4,14940,12405,154,84.7,709,0.4277,14,48789,26059,12405,14940,2407,8.0,192900,2013
Nemaha County,Kansas,20,131,17.3,10149,9896,67,76.4,499,0.4229,85,47122,24550,9896,10149,75,6.6,95200,2013
Nemaha County,Nebraska,31,127,15.7,7207,6976,101,81.6,487,0.4447,39,42672,25269,6976,7207,74,14.4,84400,2013
Neosho County,Kansas,20,133,15.6,16477,15698,200,77.9,546,0.4233,93,42071,21163,15698,16477,178,9.4,68900,2013
Neshoba County,Mississippi,28,99,11.7,29655,17981,142,73.4,592,0.4595,4857,37050,18693,17981,29655,6243,8.7,75900,2013
Ness County,Kansas,20,135,20.9,3095,3018,14,83.3,574,0.464,8,48800,30223,3018,3095,13,7.2,57200,2013
Nevada County,Arkansas,5,99,16.8,8948,6017,102,75.6,614,0.4638,26,33694,18695,6017,8948,2756,7.6,64600,2013
Nevada County,California,6,57,19.2,98509,91072,949,82.9,1217,0.445,859,57353,32346,91072,98509,412,7.4,357300,2013
New Castle County,Delaware,10,3,11.1,542784,361966,5671,78.7,1025,0.4475,1251,64537,32406,361966,542784,130133,11.1,246300,2013
New Hanover County,North Carolina,37,129,12.7,206403,166336,3261,81.3,900,0.4802,867,49835,29679,166336,206403,30155,12.9,215200,2013
New Haven County,Connecticut,9,9,12.7,862611,649673,10553,79.7,1060,0.4625,2255,61996,32523,649673,862611,108359,10.4,256900,2013
New Kent County,Virginia,51,127,12.4,18791,15379,46,81.4,996,0.3768,129,70618,32068,15379,18791,2797,7.6,253700,2013
New London County,Connecticut,9,11,12.9,274090,225906,3610,81.0,1012,0.4253,1626,66583,33782,225906,274090,15242,11.4,252900,2013
New Madrid County,Missouri,29,143,14.3,18695,15251,281,77.6,497,0.4871,32,35793,21215,15251,18695,2951,8.5,75400,2013
New York County,New York,36,61,11.8,1605272,915330,49859,85.7,1442,0.5985,5184,69659,62498,915330,1605272,245951,10.0,828100,2013
Newaygo County,Michigan,26,123,15.2,48280,45423,209,78.3,656,0.4289,355,42571,20623,45423,48280,612,8.3,104100,2013
Newberry County,South Carolina,45,71,14.4,37514,23205,504,79.5,637,0.4434,10,41718,21591,23205,37514,11069,11.0,107400,2013
Newport County,Rhode Island,44,5,16.0,82545,74528,1203,82.3,1144,0.4589,177,71713,40293,74528,82545,2971,9.9,355800,2013
Newport News City,Virginia,51,700,9.1,181025,92125,2968,77.8,974,0.4234,666,51027,25310,92125,181025,72802,14.1,200100,2013
Newton County,Arkansas,5,101,19.5,8211,7808,26,80.3,332,0.4596,53,30038,17884,7808,8211,23,8.0,74600,2013
Newton County,Georgia,13,217,9.3,100808,55217,557,73.9,962,0.4058,283,50580,21484,55217,100808,41143,10.0,125600,2013
Newton County,Indiana,18,111,14.9,14151,13800,148,79.8,717,0.4305,15,50262,25594,13800,14151,29,8.0,112000,2013
Newton County,Mississippi,28,101,13.6,21645,13729,128,76.4,618,0.4216,1116,39190,18864,13729,21645,6605,10.0,72100,2013
Newton County,Missouri,29,145,14.4,58552,53133,479,77.2,614,0.4577,1479,42268,22341,53133,58552,525,9.2,107700,2013
Newton County,Texas,48,351,15.4,14340,10910,68,81.0,522,0.4707,32,37246,20431,10910,14340,3086,10.9,77500,2013
Nez Perce County,Idaho,16,69,16.2,39458,35576,378,79.7,645,0.4075,2190,46503,24257,35576,39458,118,10.0,165900,2013
Niagara County,New York,36,63,14.2,215465,191056,2049,80.5,646,0.4368,2019,47955,25991,191056,215465,15510,9.7,105200,2013
Nicholas County,Kentucky,21,181,14.6,7085,6988,60,78.9,429,0.4121,0,43081,20450,6988,7085,29,7.0,84900,2013
Nicholas County,West Virginia,54,67,16.6,26168,25632,231,81.2,536,0.504,190,40064,23209,25632,26168,3,7.5,75500,2013
Nicollet County,Minnesota,27,103,11.2,32849,30876,207,79.6,754,0.3739,105,60115,26674,30876,32849,802,13.7,169800,2013
Niobrara County,Wyoming,56,27,19.6,2495,2347,33,77.3,559,0.4943,9,38438,26797,2347,2495,13,11.4,147700,2013
Noble County,Indiana,18,113,11.3,47509,45959,433,76.4,613,0.4014,62,47117,21889,45959,47509,77,9.1,112700,2013
Noble County,Ohio,39,121,22.4,14639,13491,108,86.0,581,0.4009,24,38290,18853,13491,14639,936,9.6,77300,2013
Noble County,Oklahoma,40,103,15.3,11529,9693,76,78.2,600,0.4144,837,44842,21947,9693,11529,225,7.9,85200,2013
Nobles County,Minnesota,27,105,13.5,21490,17956,174,77.4,633,0.4266,70,48208,22598,17956,21490,769,9.5,107800,2013
Nodaway County,Missouri,29,147,11.6,23347,22162,246,84.0,583,0.4382,71,36641,18079,22162,23347,633,27.3,101800,2013
Nolan County,Texas,48,353,14.8,15087,12897,58,75.8,522,0.4381,63,36806,19002,12897,15087,626,12.9,52200,2013
Nome Census Area,Alaska,2,180,6.3,9695,1664,80,70.6,1127,0.4356,6868,49974,20271,1664,9695,91,11.1,142800,2013
Norfolk City,Virginia,51,710,7.4,244090,117566,4696,81.7,948,0.4705,1075,44747,24659,117566,244090,104066,22.5,202800,2013
Norfolk County,Massachusetts,25,21,12.8,677296,554522,6685,79.2,1268,0.4768,574,84916,44692,554522,677296,40921,8.3,391100,2013
Norman County,Minnesota,27,107,19.0,6753,6372,49,78.6,521,0.4159,131,45389,23707,6372,6753,20,6.9,84000,2013
North Slope Borough,Alaska,2,185,4.0,9484,3101,12,81.6,1025,0.356,4929,80761,46457,3101,9484,40,10.9,154600,2013
Northampton County,North Carolina,37,131,17.5,21645,8650,205,80.5,622,0.4512,37,31433,17919,8650,21645,12173,8.9,80000,2013
Northampton County,Pennsylvania,42,95,14.0,298439,258936,2557,80.4,923,0.4248,782,60097,29266,258936,298439,15088,10.8,212100,2013
Northampton County,Virginia,51,131,20.5,12339,7525,97,78.5,672,0.5423,4,33635,23473,7525,12339,4674,6.4,168800,2013
Northumberland County,Pennsylvania,42,97,15.7,94444,90335,1103,82.3,589,0.4237,166,41208,22478,90335,94444,2312,8.6,98200,2013
Northumberland County,Virginia,51,133,31.2,12334,8725,89,85.5,803,0.4144,0,51342,28568,8725,12334,3600,6.4,239000,2013
Northwest Arctic Borough,Alaska,2,188,5.2,7624,902,24,69.2,1121,0.405,6208,61607,21461,902,7624,46,13.7,131000,2013
Norton City,Virginia,51,720,12.9,3998,3614,73,82.9,596,0.4982,0,39416,22699,3614,3998,268,11.1,88000,2013
Norton County,Kansas,20,137,14.8,5640,5181,28,84.8,515,0.3776,20,46029,22942,5181,5640,188,8.4,66000,2013
Nottoway County,Virginia,51,135,14.1,15862,9161,220,83.5,802,0.4365,50,36607,19337,9161,15862,6158,10.7,137600,2013
Nowata County,Oklahoma,40,105,17.2,10580,7325,29,78.1,553,0.4109,2039,39430,19256,7325,10580,196,7.9,74300,2013
Noxubee County,Mississippi,28,103,11.8,11358,3133,132,75.1,501,0.4609,33,24338,12780,3133,11358,8171,10.3,59000,2013
Nuckolls County,Nebraska,31,129,24.1,4462,4390,18,80.7,498,0.3906,0,37594,22448,4390,4462,2,5.3,52300,2013
Nueces County,Texas,48,355,10.8,344257,294435,4692,76.3,840,0.4566,1411,47057,23671,294435,344257,14104,10.7,110300,2013
Nye County,Nevada,32,23,25.5,43368,38588,406,82.5,838,0.4272,783,39876,21838,38588,43368,1147,6.5,112600,2013
O'Brien County,Iowa,19,141,17.3,14249,13641,68,79.1,538,0.4718,15,48185,28086,13641,14249,53,7.4,93000,2013
Oakland County,Michigan,26,125,12.2,1213406,936853,11625,78.7,919,0.467,3088,65594,36458,936853,1213406,165652,8.2,170500,2013
Obion County,Tennessee,47,131,15.3,31566,27573,300,78.7,575,0.4507,54,39467,20900,27573,31566,3395,8.4,89100,2013
Ocean County,New Jersey,34,29,18.4,578902,530983,3641,77.6,1318,0.4309,796,61136,30477,530983,578902,17847,8.0,268100,2013
Oceana County,Michigan,26,127,16.6,26456,25015,172,78.1,676,0.4057,248,40023,18986,25015,26456,122,7.8,106100,2013
Ochiltree County,Texas,48,357,8.8,10467,8421,91,70.6,679,0.4281,160,49964,23382,8421,10467,90,9.2,80100,2013
Oconee County,Georgia,13,219,10.8,33240,29583,195,74.3,862,0.4456,20,75004,33801,29583,33240,1836,7.6,238200,2013
Oconee County,South Carolina,45,73,18.5,74419,66066,582,81.1,665,0.4686,98,41394,23904,66066,74419,5559,9.2,136300,2013
Oconto County,Wisconsin,55,83,15.7,37531,36222,220,81.1,590,0.4003,425,51615,25941,36222,37531,97,6.8,147700,2013
Ogemaw County,Michigan,26,129,21.8,21537,20897,145,82.0,642,0.4445,124,34619,19634,20897,21537,43,6.9,89500,2013
Ogle County,Illinois,17,141,14.2,53092,51016,363,78.7,690,0.3991,31,54541,26635,51016,53092,454,8.6,149500,2013
Oglethorpe County,Georgia,13,221,13.8,14730,11532,110,78.6,715,0.4079,22,45729,20493,11532,14730,2463,9.1,120800,2013
Ohio County,Indiana,18,115,16.3,6075,5938,51,80.6,698,0.3864,0,50377,25443,5938,6075,41,7.7,137900,2013
Ohio County,Kentucky,21,183,14.8,23955,22876,89,76.8,535,0.4489,10,40830,19005,22876,23955,636,8.6,78800,2013
Ohio County,West Virginia,54,69,15.5,44156,41192,683,81.6,532,0.4979,63,41025,26135,41192,44156,1690,11.4,98700,2013
Okaloosa County,Florida,12,91,12.5,185852,149824,1971,80.1,1001,0.4308,1097,54684,28600,149824,185852,16841,11.5,182100,2013
Okanogan County,Washington,53,47,17.4,41143,31061,460,79.0,631,0.4317,4267,40368,20735,31061,41143,202,8.0,160800,2013
Okeechobee County,Florida,12,93,15.4,39642,33703,316,79.8,687,0.4794,258,34570,17787,33703,39642,3553,9.2,105300,2013
Okfuskee County,Oklahoma,40,107,14.2,12268,7850,126,79.6,483,0.4329,1863,35170,16528,7850,12268,954,8.4,69300,2013
Oklahoma County,Oklahoma,40,109,10.4,732118,501213,9451,76.1,748,0.4884,22738,45215,26561,501213,732118,109245,10.4,126500,2013
Okmulgee County,Oklahoma,40,111,14.2,39747,26202,263,76.9,580,0.4295,5204,39156,19753,26202,39747,3531,11.1,77100,2013
Oktibbeha County,Mississippi,28,105,8.3,48198,28301,654,83.5,691,0.5375,65,30987,20202,28301,48198,17819,32.9,129200,2013
Oldham County,Kentucky,21,185,9.3,60940,55209,220,76.8,822,0.4193,159,83391,33591,55209,60940,2654,7.5,245700,2013
Oldham County,Texas,48,359,11.2,2064,1862,6,76.5,635,0.4448,15,48929,22519,1862,2064,63,6.0,83700,2013
Oliver County,North Dakota,38,65,18.1,1840,1764,0,79.2,512,0.4197,42,71250,32253,1764,1840,0,6.5,98900,2013
Olmsted County,Minnesota,27,109,11.6,146063,126052,1152,76.3,796,0.4367,248,66252,34073,126052,146063,7121,7.4,171100,2013
Oneida County,Idaho,16,71,16.8,4257,4115,28,74.5,504,0.405,21,40842,18920,4115,4257,0,6.6,126100,2013
Oneida County,New York,36,65,14.2,234206,203079,2286,80.6,689,0.4416,515,48729,25103,203079,234206,13529,10.6,110500,2013
Oneida County,Wisconsin,55,85,20.8,35868,34667,285,83.9,714,0.4372,410,45759,27041,34667,35868,205,6.8,165200,2013
Onondaga County,New York,36,67,12.5,467202,379351,5003,79.0,759,0.4544,3408,54242,28746,379351,467202,50829,11.2,132300,2013
Onslow County,North Carolina,37,133,6.2,179935,134964,2510,77.8,950,0.3979,1275,45450,21084,134964,179935,29156,28.0,151700,2013
Ontario County,New York,36,69,14.4,108311,101360,1084,80.0,778,0.4276,210,56479,29904,101360,108311,2423,9.7,138100,2013
Ontonagon County,Michigan,26,131,27.0,6584,6383,41,86.6,419,0.3888,48,34620,21585,6383,6584,38,4.5,72600,2013
Orange County,California,6,59,10.6,3051771,1912743,39829,78.2,1498,0.4601,11660,75422,34057,1912743,3051771,49836,10.6,519600,2013
Orange County,Florida,12,95,8.7,1175416,766259,16356,78.8,1022,0.4693,3450,47581,24877,766259,1175416,242680,12.7,167800,2013
Orange County,Indiana,18,117,14.6,19829,19233,201,78.0,592,0.4092,46,38826,18576,19233,19829,322,8.5,88100,2013
Orange County,New York,36,71,9.9,373902,284911,2620,75.7,1133,0.4307,1013,70458,30583,284911,373902,37697,11.4,276900,2013
Orange County,North Carolina,37,135,9.2,136057,103164,1429,80.4,872,0.5243,404,55569,34465,103164,136057,15793,17.8,272600,2013
Orange County,Texas,48,361,12.7,82372,72191,445,77.5,722,0.4437,420,49507,24736,72191,82372,6851,9.3,91900,2013
Orange County,Vermont,50,17,14.5,28966,28095,255,81.8,825,0.4077,117,52480,27289,28095,28966,110,9.3,183900,2013
Orange County,Virginia,51,137,16.9,33934,28175,337,80.5,862,0.4066,44,60287,27655,28175,33934,4493,7.9,230500,2013
Orangeburg County,South Carolina,45,75,13.9,91836,31731,759,77.4,661,0.4691,434,34110,17687,31731,91836,57292,11.9,84700,2013
Oregon County,Missouri,29,149,19.2,10935,10493,89,81.4,496,0.445,133,27743,16331,10493,10935,19,7.8,72400,2013
Orleans County,New York,36,73,13.5,42663,38356,372,81.3,634,0.4042,287,48502,22255,38356,42663,2549,10.0,91100,2013
Orleans County,Vermont,50,19,17.2,27184,26329,201,81.9,692,0.4262,109,41953,22303,26329,27184,213,8.2,156300,2013
Orleans Parish,Louisiana,22,71,9.6,357013,120087,5959,80.2,926,0.5531,1271,37146,26500,120087,357013,213632,11.5,183700,2013
Osage County,Kansas,20,139,15.8,16260,15690,114,77.4,671,0.3965,121,50205,24789,15690,16260,63,7.0,99000,2013
Osage County,Missouri,29,151,13.4,13842,13675,90,78.5,497,0.3635,2,51408,22629,13675,13842,118,10.9,123100,2013
Osage County,Oklahoma,40,113,15.4,47800,31423,151,78.7,599,0.4371,7049,44195,22353,31423,47800,5386,8.2,93900,2013
Osborne County,Kansas,20,141,21.2,3846,3768,9,81.7,481,0.4944,10,37925,26313,3768,3846,8,7.3,51200,2013
Osceola County,Florida,12,97,10.5,279837,212949,3542,76.5,1030,0.4146,692,43891,19007,212949,279837,31241,10.5,129900,2013
Osceola County,Iowa,19,143,17.3,6335,6105,25,80.7,547,0.3871,24,48659,24653,6105,6335,24,8.1,75600,2013
Osceola County,Michigan,26,133,16.2,23404,22632,164,78.7,565,0.4059,116,37788,18099,22632,23404,156,7.9,90500,2013
Oscoda County,Michigan,26,135,24.0,8590,8336,16,81.6,589,0.3891,75,33239,18057,8336,8590,3,6.1,83000,2013
Oswego County,New York,36,75,11.7,121797,116920,868,80.2,719,0.4256,328,48051,23126,116920,121797,1113,12.6,93000,2013
Otero County,Colorado,8,89,16.4,18817,16979,221,78.4,630,0.4573,455,33848,19078,16979,18817,103,9.3,91800,2013
Otero County,New Mexico,35,35,14.0,64767,50374,539,77.7,730,0.4415,4599,39263,19880,50374,64767,2659,12.4,102400,2013
Otoe County,Nebraska,31,131,16.4,15727,15227,106,78.4,650,0.4102,43,50881,25855,15227,15727,20,7.8,118000,2013
Otsego County,Michigan,26,137,16.5,24127,23249,332,80.6,665,0.4195,127,47584,24312,23249,24127,43,7.6,116600,2013
Otsego County,New York,36,77,15.8,62029,58601,394,84.0,775,0.4351,104,47765,24165,58601,62029,1138,16.3,137900,2013
Ottawa County,Kansas,20,143,15.9,6078,5902,31,76.0,681,0.3792,6,58396,26614,5902,6078,25,6.5,93400,2013
Ottawa County,Michigan,26,139,10.9,267017,240170,1524,76.3,767,0.4126,1172,56453,25371,240170,267017,4110,12.8,153200,2013
Ottawa County,Ohio,39,123,18.4,41372,39759,316,81.5,716,0.4059,48,53202,27979,39759,41372,438,6.7,136000,2013
Ottawa County,Oklahoma,40,115,15.4,32029,22261,246,76.8,595,0.4328,5232,36473,18331,22261,32029,242,10.4,81000,2013
Otter Tail County,Minnesota,27,111,19.3,57369,55068,387,80.8,594,0.4265,234,48961,26400,55068,57369,590,7.3,159700,2013
Ouachita County,Arkansas,5,103,15.1,25651,14763,155,78.1,566,0.4453,71,32015,18975,14763,25651,10331,8.5,70000,2013
Ouachita Parish,Louisiana,22,73,10.8,154641,93433,1844,75.3,668,0.4929,487,38955,21917,93433,154641,57052,11.2,118200,2013
Ouray County,Colorado,8,91,23.6,4475,4351,38,87.3,1102,0.383,19,64601,33015,4351,4475,0,7.2,383900,2013
Outagamie County,Wisconsin,55,87,10.5,178013,162695,1161,77.2,723,0.4055,2779,58318,28186,162695,178013,1952,9.1,155700,2013
Overton County,Tennessee,47,133,15.8,22109,21633,70,78.7,533,0.4472,33,34604,18347,21633,22109,145,8.6,91900,2013
Owen County,Indiana,18,119,14.4,21467,21010,149,80.3,679,0.395,75,43950,21318,21010,21467,100,8.3,101900,2013
Owen County,Kentucky,21,187,14.4,10807,10533,90,78.2,518,0.4622,15,41009,23991,10533,10807,138,8.2,96800,2013
Owsley County,Kentucky,21,189,18.8,4738,4591,24,78.5,289,0.511,0,19986,13611,4591,4738,39,5.7,56200,2013
Owyhee County,Idaho,16,73,13.3,11474,10285,37,75.6,530,0.4369,379,32175,15945,10285,11474,0,8.5,121200,2013
Oxford County,Maine,23,17,16.3,57657,55922,368,81.2,610,0.4149,218,40674,21441,55922,57657,233,8.1,137200,2013
Ozark County,Missouri,29,153,24.2,9653,9406,46,83.3,514,0.398,18,32078,17215,9406,9653,14,6.1,89900,2013
Ozaukee County,Wisconsin,55,89,14.2,86708,82385,722,78.9,812,0.4726,331,75457,42041,82385,86708,1171,8.2,250200,2013
Pacific County,Washington,53,49,24.8,20781,18295,213,83.5,720,0.4471,370,39830,23888,18295,20781,108,6.9,162000,2013
Page County,Iowa,19,145,16.1,15838,14902,80,82.0,553,0.4399,87,43010,23496,14902,15838,292,7.7,77700,2013
Page County,Virginia,51,139,17.0,23975,23013,104,81.4,695,0.4253,33,42906,22355,23013,23975,353,8.0,180200,2013
Palm Beach County,Florida,12,99,19.7,1339221,1015518,12326,81.4,1149,0.5089,2363,52432,32858,1015518,1339221,234735,8.6,199700,2013
Palo Alto County,Iowa,19,147,17.1,9352,9161,73,78.6,469,0.4394,20,44663,25055,9161,9352,38,10.2,83400,2013
Palo Pinto County,Texas,48,363,15.6,28017,24810,305,77.2,735,0.4856,229,41670,23655,24810,28017,673,8.9,85200,2013
Pamlico County,North Carolina,37,137,21.1,13115,10099,73,85.3,757,0.4395,138,43853,23724,10099,13115,2537,8.9,157500,2013
Panola County,Mississippi,28,107,11.6,34558,16778,178,74.9,667,0.4735,9,35715,18073,16778,34558,17538,9.8,77500,2013
Panola County,Texas,48,365,14.6,23877,18627,138,78.4,653,0.4537,14,52453,26525,18627,23877,4186,9.1,83900,2013
Park County,Colorado,8,93,13.4,16131,15503,84,84.5,1180,0.3856,111,61570,31504,15503,16131,5,5.3,247300,2013
Park County,Montana,30,67,16.5,15621,15065,107,81.5,663,0.4315,103,42426,24611,15065,15621,21,5.7,204500,2013
Park County,Wyoming,56,29,16.4,28557,27469,138,79.4,666,0.3953,242,53951,27824,27469,28557,217,9.5,212100,2013
Parke County,Indiana,18,121,16.3,17210,16610,111,79.2,590,0.4128,25,43870,20534,16610,17210,453,8.5,87600,2013
Parker County,Texas,48,367,12.2,118478,110578,717,77.8,883,0.4416,1106,64515,30692,110578,118478,2231,9.4,152900,2013
Parmer County,Texas,48,369,10.9,10159,9395,47,73.4,617,0.4199,57,44943,19304,9395,10159,150,10.5,86400,2013
Pasco County,Florida,12,101,20.0,468194,418289,3504,80.4,911,0.4414,1539,43888,23736,418289,468194,21580,7.4,120000,2013
Pasquotank County,North Carolina,37,139,12.0,40419,23494,481,79.9,885,0.4608,92,46053,22745,23494,40419,15160,13.1,171600,2013
Passaic County,New Jersey,34,31,10.5,502854,337688,6421,77.1,1159,0.4701,1784,57654,27152,337688,502854,63912,10.6,351000,2013
Patrick County,Virginia,51,141,20.4,18445,17061,220,82.8,527,0.3976,13,34864,18860,17061,18445,1204,7.6,110500,2013
Paulding County,Georgia,13,223,6.9,143845,114219,1018,72.9,997,0.378,293,61837,24168,114219,143845,25084,8.8,135500,2013
Paulding County,Ohio,39,125,13.4,19441,18623,52,76.8,582,0.4235,71,44861,22714,18623,19441,159,7.8,92300,2013
Pawnee County,Kansas,20,145,12.9,6971,6336,75,85.6,463,0.4148,24,44078,23230,6336,6971,361,8.4,73700,2013
Pawnee County,Nebraska,31,133,22.5,2759,2703,10,81.0,456,0.4794,8,37321,25426,2703,2759,0,6.8,57200,2013
Pawnee County,Oklahoma,40,117,16.0,16592,13333,125,77.1,622,0.411,1644,44375,21220,13333,16592,159,7.5,83500,2013
Payette County,Idaho,16,75,15.0,22629,20976,239,73.7,678,0.4177,231,43649,19165,20976,22629,13,8.3,132700,2013
Payne County,Oklahoma,40,119,9.3,77897,63316,832,82.8,686,0.4927,3110,36812,20868,63316,77897,2780,28.2,130800,2013
Peach County,Georgia,13,225,9.9,27481,12987,128,79.6,647,0.4549,10,39844,19431,12987,27481,12778,17.8,120000,2013
Pearl River County,Mississippi,28,109,14.0,55569,46980,284,78.3,753,0.4501,207,42510,20549,46980,55569,7065,9.0,111600,2013
Pecos County,Texas,48,371,10.7,15590,13650,80,81.1,607,0.4479,30,47019,20245,13650,15590,894,8.6,64300,2013
Pembina County,North Dakota,38,67,18.8,7327,7007,54,80.3,521,0.4033,183,49846,27817,7007,7327,5,5.8,72200,2013
Pemiscot County,Missouri,29,155,13.0,18160,12893,294,73.9,513,0.4739,42,28889,16881,12893,18160,4962,9.2,64300,2013
Pend Oreille County,Washington,53,51,20.4,12956,11773,92,80.7,785,0.4757,528,40567,23167,11773,12956,21,5.9,186400,2013
Pender County,North Carolina,37,141,14.4,53412,40782,274,79.4,757,0.463,213,44524,23526,40782,53412,9467,8.6,155600,2013
Pendleton County,Kentucky,21,191,11.6,14714,14470,26,78.8,584,0.4359,27,45480,23122,14470,14714,51,8.6,105000,2013
Pendleton County,West Virginia,54,71,21.2,7603,7315,34,83.0,589,0.456,0,34175,21253,7315,7603,185,8.1,90600,2013
Pennington County,Minnesota,27,113,13.3,14008,13117,152,78.5,535,0.4074,165,45633,24554,13117,14008,228,9.9,107900,2013
Pennington County,South Dakota,46,103,12.3,102752,85664,1091,77.5,756,0.4425,8898,50833,27000,85664,102752,1185,10.0,156100,2013
